7 83 E0 5E 80 0
7 84 A2 C6 0 0
7 84 FD 17 80 0
F 85 32 21 0 0
7 85 36 CC 0 0
7 85 4E E8 0 0
F 85 B2 C2 80 0
7 86 3F F0 0 0
7 87 F D9 80 0
7 87 26 81 0 0
7 87 97 4 80 0
7 87 B0 44 80 0
7 89 27 72 0 0
7 89 49 BA 0 0
7 89 6D 7F 0 0
F 89 A7 CF 80 0
F 89 CD 66 80 0
F 8A F 1 80 0
F 8A DF A4 80 0
7 8B 29 55 80 0
7 8B 8C 81 80 0
F 8B 8C 9E 80 0
7 8B EB FC 0 0
7 8C 53 F8 0 0
7 8D 80 A1 80 0
F 8D 9B 8D 0 0
F 8E 36 31 0 0
F 8E BF E5 0 0
7 8E DA 39 0 0
F 8F C4 71 0 0
7 8F CF 6A 0 0
7 91 34 DD 80 0
7 91 87 BB 0 0
7 91 C0 70 80 0
F 92 12 CA 0 0
7 92 2F 48 0 0
F 92 A2 6D 80 0
F 94 4F B5 80 0
7 94 8F 72 80 0
7 95 49 48 0 0
F 95 E2 C4 0 0
7 96 5E 18 80 0
7 96 7B 88 0 0
F 97 74 41 0 0
7 97 DA FF 80 0
F 98 C9 3F 80 0
F 99 12 F3 80 0
F 99 27 3C 80 0
F 99 52 DC 80 0
F 99 68 58 80 0
7 99 B4 A2 80 0
7 99 D8 A4 0 0
7 9A C 77 80 0
7 9A 45 A2 0 0
7 9A B2 D9 80 0
F 9B 28 B1 80 0
7 9C 26 13 80 0
7 9C 5F 48 0 0
F 9C B6 93 80 0
7 9D 2D 68 0 0
7 9D 83 38 0 0
7 9D 93 4D 0 0
7 9D A8 EC 0 0
7 9D EE 9D 80 0
7 9E 2 52 80 0
F 9E 6A 50 0 0
F 9F 30 C3 0 0
F 9F 40 A0 80 0
7 9F 95 81 0 0
1F 9F EC 2C 80 0
F 9F FA CD 80 0
7 A0 4E 17 0 0
F A0 F5 B6 0 0
7 A1 45 DC 0 0
7 A1 7A 6E 80 0
7 A1 F1 B0 80 0
7 A2 4F 3A 80 0
F A2 E4 3F 0 0
F A3 16 31 0 0
7 A3 32 A1 80 0
7 A3 EA F2 80 0
7 A4 5 81 80 0
7 A4 A7 E7 80 0
F A5 6E 4B 0 0
7 A5 95 B4 0 0
7 A5 9B AA 0 0
7 A5 BF F3 80 0
7 A5 E7 A2 0 0
7 A6 7 D5 0 0
F A6 31 7B 80 0
F A6 66 F0 80 0
7 A6 75 CA 80 0
7 A6 A2 92 0 0
7 A6 FF 6 80 0
7 A7 50 43 80 0
F A8 27 EC 0 0
F A8 F8 16 0 0
7 A9 D A8 80 0
7 A9 DD F7 80 0
7 AA 41 1B 80 0
F AA 7E E6 80 0
7 AB 15 48 80 0
7 AB B1 39 80 0
7 AC 38 85 0 0
F AC 3E 68 80 0
7 AC 4E 54 80 0
7 AC 99 7F 80 0
7 AD 12 46 80 0
7 AD 73 7A 0 0
F AF BA DA 0 0
F AF DC 78 0 0
F B0 17 8A 80 0
7 B0 5A A5 80 0
F B1 17 CA 80 0
7 B2 2 FE 80 0
7 B2 29 1 0 0
7 B2 2D B3 0 0
7 B2 F5 42 0 0
7 B3 B BF 0 0
7 B3 16 FD 0 0
F B3 52 67 80 0
7 B3 A4 7D 80 0
7 B3 AD ED 80 0
F B4 59 38 0 0
7 B4 74 2C 0 0
7 B4 95 A0 80 0
7 B5 2D F8 0 0
F B5 3E DE 0 0
F B5 72 C9 0 0
F B5 CF 14 0 0
F B5 DB EA 80 0
7 B6 C A0 0 0
7 B6 38 22 80 0
F B6 89 3C 80 0
F B6 9A 47 0 0
F B6 E3 11 0 0
F B7 9 44 80 0
7 B7 EA 7A 80 0
F B7 FC C5 80 0
7 B8 8 18 80 0
7 B8 11 13 80 0
7 B8 45 25 0 0
7 B9 7C 7 0 0
7 B9 84 C5 0 0
7 B9 AD AE 0 0
7 B9 C2 73 80 0
F BA 26 94 0 0
7 BA 3C C8 80 0
7 BA A3 EB 80 0
F BA B5 24 80 0
7 BB 10 2A 0 0
7 BB A9 5B 0 0
F BC 30 2C 80 0
7 BD 1D 1E 0 0
F BD 34 1F 0 0
7 BD 7D 47 80 0
7 BD DE FD 0 0
7 BE A3 98 80 0
F BE B3 E4 80 0
7 BE BE F2 80 0
7 BE E9 1B 80 0
7 BF 25 38 0 0
7 BF 71 7A 80 0
7 BF DC BC 0 0
7 C0 F 93 80 0
F C0 18 6E 0 0
F C0 51 A6 0 0
F C0 D3 DA 0 0
7 C2 1A 57 0 0
7 C2 48 F7 0 0
F C2 94 52 80 0
7 C3 7 12 0 0
F C3 8 1 80 0
7 C3 32 E1 0 0
7 C3 78 B8 0 0
7 C4 7C D 0 0
F C4 92 A7 80 0
F C4 D6 75 0 0
F C4 EE E0 80 0
7 C5 1A 67 0 0
7 C5 5B 38 0 0
F C5 83 D6 80 0
7 C6 38 5B 0 0
7 C7 30 85 0 0
7 C9 4E 4D 80 0
7 C9 60 2D 0 0
F C9 9C DE 80 0
F CA 1 5C 0 0
7 CA A6 2D 0 0
7 CB 8B 6A 0 0
7 CB 8D BB 80 0
