5 24 C3 3 0 0
D 25 43 AE 0 0
D 25 5D 9D 80 0
D 25 FB 98 0 0
5 25 FC BE 0 0
5 26 6 5C 80 0
5 26 5A BA 80 0
D 27 83 A9 80 0
5 27 B6 F 0 0
5 28 2C 43 0 0
D 28 35 91 0 0
5 28 B3 F6 0 0
5 28 F9 F9 80 0
D 29 BA 80 80 0
5 2A 59 82 80 0
D 2A BA CD 0 0
D 2A DD CE 80 0
5 2B 9 95 80 0
5 2B 4D 52 80 0
D 2B 7C 56 0 0
D 2B 9A FE 0 0
5 2B CF DC 0 0
D 2B DE F4 80 0
5 2B E3 82 0 0
5 2C 42 3B 80 0
5 2C DA 6D 80 0
D 2C EA FA 80 0
D 2E B5 26 80 0
5 2F 31 EF 80 0
5 2F 3F 5 80 0
D 2F C5 13 80 0
D 2F F3 3D 0 0
D 30 FF 7F 80 0
D 31 C 70 0 0
5 31 78 B8 0 0
5 31 B1 FD 80 0
5 31 EB E3 0 0
5 32 D1 2D 0 0
D 32 E8 FC 0 0
5 33 23 2 80 0
5 33 8D 89 0 0
D 34 AB 5A 0 0
5 35 6C CC 0 0
1D 35 7F D0 0 0
5 36 A 78 80 0
D 36 78 87 0 0
D 36 C6 DD 80 0
5 37 12 62 80 0
D 37 19 AD 0 0
5 37 92 B5 0 0
5 37 C9 ED 0 0
5 38 F 7C 80 0
D 38 A4 4D 80 0
D 39 7 E6 80 0
5 39 28 62 0 0
5 39 E4 6B 80 0
5 3A 25 3A 80 0
5 3A 2D 47 0 0
D 3A 59 36 80 0
5 3A 8E 48 80 0
5 3A F1 39 80 0
D 3B 40 B0 80 0
5 3B 7A 98 0 0
D 3B D5 93 80 0
5 3C B 8A 80 0
D 3C 15 8B 80 0
D 3C 28 AA 0 0
D 3D 91 EA 80 0
5 3D C2 D 0 0
5 3E 13 27 80 0
5 3E 1F 47 0 0
D 40 9A ED 0 0
5 41 77 5B 80 0
D 42 C9 33 80 0
5 42 D0 9D 80 0
5 42 EF 49 0 0
D 42 F6 56 80 0
5 43 2F 2E 80 0
5 43 A4 A2 0 0
5 43 BC 9E 80 0
5 44 DA 15 80 0
D 45 61 DD 0 0
5 45 E5 CF 0 0
5 46 1F 81 0 0
D 46 DB 69 80 0
5 47 4F 11 0 0
5 48 0 8C 0 0
D 48 30 5 0 0
D 48 FB B 80 0
D 49 3B BD 80 0
D 49 E3 F8 80 0
5 4A 90 D8 0 0
5 4A EE 86 80 0
5 4A FA 2A 80 0
5 4B E C5 0 0
5 4B 4A DE 80 0
5 4B 7E 44 0 0
5 4B FC AD 0 0
5 4C 5E 8F 0 0
D 4C 79 66 0 0
5 4C 8D EB 0 0
5 4D 11 3 0 0
5 4D 20 BF 80 0
5 4E 5D 0 80 0
5 4E 60 6D 0 0
5 4E 8B C7 80 0
5 4E F9 E3 0 0
5 4F 12 E4 80 0
5 4F C1 F9 80 0
5 50 5C EA 0 0
D 50 7E CD 0 0
D 50 E1 BE 80 0
D 51 2B E4 80 0
5 51 9F 21 0 0
D 51 AC AF 80 0
D 51 C0 E1 0 0
5 51 C6 C1 0 0
5 52 9 C4 0 0
5 52 84 CF 80 0
5 52 F4 F3 0 0
D 53 25 B2 0 0
D 53 2F E6 0 0
5 54 35 C2 80 0
5 54 59 8 0 0
5 54 7B C5 0 0
D 55 59 43 80 0
5 56 50 28 80 0
5 56 87 F8 80 0
5 57 48 81 80 0
D 57 D4 68 0 0
5 58 56 CE 0 0
1D 58 8D 6A 80 0
D 58 F4 4D 0 0
D 59 84 99 80 0
5 5A DC 5E 0 0
5 5A EF 25 0 0
5 5B 3C B2 0 0
5 5B 40 8E 80 0
5 5B 97 9F 80 0
5 5B BC B2 0 0
5 5B DD 61 80 0
5 5B E3 93 0 0
D 5B FB A9 80 0
5 5D 96 AC 80 0
5 5D CE A8 80 0
5 5D EB 1D 0 0
5 5E 12 3E 0 0
5 5E D3 5F 80 0
7D 5F 52 95 0 0
7D 60 B8 CE 80 0
5 61 9 66 80 0
5 61 78 66 0 0
D 61 DA 8D 80 0
5 62 97 4F 0 0
5 62 99 7D 0 0
D 62 BE A6 0 0
5 63 94 A7 0 0
D 63 F4 9A 0 0
5 64 80 E 80 0
5 65 55 F7 0 0
5 65 E5 C3 80 0
D 65 F0 84 0 0
5 66 60 84 80 0
D 66 65 BC 0 0
5 66 9E 13 80 0
5 67 6D F1 0 0
5 68 74 55 80 0
D 69 CD AF 80 0
5 69 D5 C5 80 0
D 6A 6 F 0 0
D 6A 88 4 0 0
5 6A BE E1 0 0
D 6A E8 E6 0 0
5 6B 4F 42 80 0
5 6C 24 C7 0 0
D 6C 8D 48 80 0
5 6F 18 F7 80 0
5 6F 6F 72 80 0
5 6F F2 55 80 0
5 70 A 60 0 0
5 70 28 51 0 0
5 70 55 B1 0 0
1D 70 56 CE 80 0
D 70 5A BF 80 0
5 71 46 12 0 0
5 72 4 92 0 0
D 72 64 E1 0 0
D 73 24 74 80 0
5 73 47 9E 80 0
5 73 AA E0 0 0
5 74 6 DD 80 0
5 75 A FE 0 0
5 75 28 B4 0 0
5 75 B4 D3 0 0
5 75 CF 45 80 0
5 76 1B F9 80 0
5 76 27 FC 0 0
5 76 5E 30 80 0
5 77 A0 DA 0 0
5 78 15 D1 80 0
5 78 A4 66 0 0
D 79 3 DD 80 0
1D 79 8 DD 80 0
D 79 35 FB 80 0
5 79 FB F2 0 0
5 7A 35 10 80 0
5 7A 43 C9 0 0
D 7A C8 1E 80 0
5 7A F4 1B 80 0
5 7B F1 D3 80 0
5 7C 3F 76 0 0
5 7C 73 98 80 0
5 7D 11 6A 0 0
5 7D 6D AC 0 0
D 7D F5 D3 0 0
5 7E 60 95 80 0
5 7E E5 4E 0 0
D 7E FD 1D 80 0
D 7F 4D A4 0 0
5 80 79 52 0 0
5 80 B5 BF 80 0
5 81 9 A1 0 0
D 81 91 AB 0 0
D 81 FC CF 0 0
D 82 5 4A 0 0
5 82 A1 B5 0 0
5 82 C7 E3 0 0
5 82 FD 75 0 0
5 83 30 31 0 0
5 83 D4 10 0 0
5 84 1 A0 80 0
D 84 7B B7 80 0
5 84 A3 91 80 0
D 85 DB F5 80 0
D 86 8 B9 80 0
D 86 39 24 0 0
5 86 87 E9 0 0
5 87 8F E4 80 0
1D 87 A6 2F 0 0
5 88 26 C5 80 0
5 88 74 A1 0 0
D 88 C1 7F 0 0
D 88 EC 6D 80 0
D 89 9B 39 80 0
1D 89 B1 5 80 0
D 89 E1 70 80 0
5 8A 35 5B 0 0
D 8A 55 19 80 0
5 8A 6F 68 0 0
D 8A 95 C6 80 0
D 8A A1 4B 80 0
5 8A D0 99 0 0
5 8B 15 88 0 0
5 8B 36 EF 80 0
5 8B 45 F9 0 0
5 8B E3 5E 80 0
5 8C 94 C3 0 0
D 8C A5 53 0 0
D 8C CE 79 80 0
5 8C DC 3B 80 0
5 8D 5 27 0 0
5 8D C 93 80 0
5 8D CF B3 0 0
5 8E 16 E6 80 0
5 8E F9 52 0 0
5 8F 19 2B 0 0
5 8F 63 5B 80 0
D 8F DF A1 80 0
D 8F FF 24 80 0
5 91 FA 58 0 0
D 92 4B 19 0 0
5 92 61 6B 0 0
1D 92 6A C5 80 0
1D 92 A7 8B 80 0
D 92 E5 6F 80 0
5 93 49 81 0 0
5 93 49 98 80 0
D 93 7C AB 80 0
5 94 C8 31 0 0
D 95 1A 9B 80 0
5 95 1E 9D 0 0
5 95 6E 34 0 0
5 97 D F0 80 0
5 97 83 BB 0 0
5 97 B5 A3 0 0
D 97 FA FC 0 0
5 98 BB 5F 0 0
5 98 D7 72 80 0
5 99 6 F7 80 0
5 99 29 F1 80 0
D 9A 21 4 0 0
5 9A 48 C 0 0
5 9A 5C D5 0 0
D 9B AD C0 0 0
D 9B D9 28 80 0
5 9C 57 13 0 0
5 9D 29 82 80 0
D 9D 8E 83 0 0
5 9D A9 51 0 0
D 9D C0 11 80 0
5 9D D9 D6 0 0
5 9E 1F EA 0 0
D 9E 52 46 80 0
5 9E 57 5B 0 0
5 9E 5E 51 0 0
5 9F 2D 41 80 0
5 9F 45 2B 0 0
5 9F F1 FA 80 0
5 A1 AB DD 0 0
5 A2 A 43 80 0
5 A2 26 15 0 0
5 A2 64 3A 80 0
5 A2 DE F1 80 0
5 A3 41 5B 0 0
1D A3 79 EE 0 0
5 A4 52 FE 0 0
