5 7E ED 2E 0 0
D 80 1 96 0 0
D 80 D D2 0 0
D 80 97 AA 80 0
D 80 D7 E8 80 0
5 82 D 60 0 0
5 82 6D D7 0 0
D 83 3B 45 80 0
5 83 76 8E 0 0
5 84 50 5E 80 0
D 85 85 13 80 0
5 86 E8 FF 80 0
5 86 EA 23 80 0
5 87 1B 97 80 0
5 87 25 8 80 0
5 87 5D B4 0 0
5 87 F8 6B 0 0
D 89 1D E6 0 0
D 89 50 F3 80 0
D 8A 2F 63 0 0
5 8A 32 3A 80 0
D 8A 81 F9 0 0
D 8B 5F 65 0 0
5 8B A2 70 0 0
D 8C 58 60 0 0
5 8C E8 80 80 0
D 8D 67 FB 80 0
5 90 23 6A 0 0
5 90 A4 F1 0 0
5 90 EF 9 80 0
5 91 1A 2 80 0
D 92 3 9C 0 0
5 92 49 91 80 0
5 92 6B 16 0 0
5 92 F9 6E 0 0
D 93 54 C 80 0
5 93 61 CE 80 0
5 93 7E 60 80 0
5 93 91 3C 80 0
D 93 F8 E7 0 0
D 94 85 36 80 0
5 95 5 52 80 0
5 95 47 2C 80 0
5 95 A3 B7 80 0
5 96 8B 7B 80 0
5 98 5 7C 0 0
5 98 50 64 0 0
D 98 74 C6 0 0
D 98 78 35 0 0
5 98 7A 5C 0 0
5 98 AE 89 80 0
5 98 B7 6C 80 0
D 99 23 7E 0 0
D 99 E9 D8 0 0
D 9A 8A 9C 80 0
5 9C F E 0 0
5 9C 1B D0 0 0
5 9D BE EA 0 0
1D 9E C9 97 0 0
D 9F 8F BA 80 0
5 9F F3 AC 80 0
5 A0 1F 28 80 0
D A0 D4 3A 0 0
5 A0 FA 5A 0 0
D A1 2D 11 0 0
5 A1 E5 80 0 0
5 A2 16 CB 0 0
D A2 34 61 80 0
D A2 7E B2 0 0
D A2 B8 86 80 0
D A3 43 35 80 0
D A3 E2 7E 0 0
5 A4 42 A2 80 0
5 A4 5B 4F 80 0
D A4 63 4D 80 0
5 A4 D8 5E 0 0
5 A5 56 CE 80 0
5 A6 5C 73 0 0
5 A7 32 DB 80 0
5 A7 33 5E 0 0
D A7 CE 67 80 0
D A8 78 19 80 0
5 A8 84 62 0 0
