4 EC FC 66 80 0
4 ED 63 9F 80 0
4 ED 68 57 0 0
C EE 2A 65 0 0
C EF C D8 0 0
C EF 3A E1 80 0
C EF 7F 7E 0 0
C F0 31 37 0 0
C F0 BB B6 0 0
4 F1 5F 89 80 0
4 F1 9D FA 0 0
4 F3 FB C6 0 0
4 F5 40 85 80 0
4 F5 60 19 0 0
4 F6 80 A3 80 0
4 F6 C4 30 80 0
C F6 CF 3C 0 0
C F6 EB 98 80 0
C F7 5A 52 0 0
C F8 E7 5D 0 0
C F9 68 44 0 0
C FA 57 CC 0 0
4 FA AB 7F 80 0
4 FB 16 30 80 0
C FB 54 C6 80 0
4 FC 77 9D 80 0
C FC 85 46 80 0
C FC D3 C7 80 0
4 FD 71 36 0 0
4 FD 89 B6 80 0
C FE C0 2 0 0
C FF 2A CF 80 0
4 FF C9 1 80 0
C FF CF CC 0 0
4 FF DD 45 80 0
4 FF DE 5E 80 0
4 FF F9 24 0 0
5 0 DD E5 80 0
5 1 D3 B 0 0
5 1 D4 4 0 0
5 1 DF 43 0 0
D 1 F9 40 80 0
D 2 19 AE 80 0
D 2 98 DD 0 0
5 2 FF DE 0 0
5 3 A 20 0 0
D 3 4F DE 0 0
5 3 E9 56 80 0
5 3 F5 50 80 0
5 4 39 54 80 0
5 4 D2 AB 0 0
1D 4 F7 4C 80 0
5 5 A A2 80 0
D 5 3D A9 0 0
5 5 51 9C 80 0
5 5 AD 2A 80 0
D 5 D4 2B 0 0
D 6 9 2B 0 0
D 7 80 52 80 0
D 7 9A D6 0 0
5 7 FF AC 80 0
5 8 18 1D 0 0
5 8 94 35 0 0
5 8 F4 E 0 0
5 A 16 D3 0 0
D A 30 59 0 0
D B 13 E 0 0
5 B 35 80 80 0
5 B 7E FA 0 0
5 B BF 4E 0 0
5 C 3F AA 0 0
5 C AE 43 0 0
5 C CB FF 0 0
5 D 1B B7 0 0
D D 83 90 80 0
D D 97 DC 0 0
5 E 15 5B 80 0
5 E 66 E8 80 0
5 E B3 F5 80 0
D F 8 B6 0 0
5 F 64 56 80 0
5 10 10 30 80 0
5 10 3B 2B 80 0
D 10 71 F6 80 0
D 10 86 4F 0 0
5 10 8F 51 0 0
5 10 9F 67 80 0
5 11 2C 20 0 0
D 11 84 4D 80 0
5 12 CC 6C 0 0
D 12 E6 1A 0 0
D 13 69 43 0 0
1D 13 9E EF 0 0
D 13 EA A3 0 0
5 14 87 7A 0 0
5 14 A3 94 0 0
5 15 88 46 80 0
5 16 F0 9C 0 0
5 18 B0 68 0 0
5 19 C 8E 80 0
1D 19 8E C2 80 0
D 19 D1 46 0 0
5 1A 8D 13 0 0
5 1A DD 99 0 0
5 1B 27 DE 0 0
5 1B 2A 81 0 0
D 1B 40 58 0 0
D 1B DF D1 0 0
5 1C 60 22 80 0
D 1C 8A 1 80 0
5 1C AB 2E 80 0
5 1D 1F EF 0 0
5 1D 57 29 0 0
5 1D FF 56 0 0
5 1E EC E 0 0
5 1F 3B AF 80 0
5 20 36 C5 0 0
5 20 53 B 0 0
5 21 79 FE 0 0
5 21 AB 62 0 0
5 22 33 6C 80 0
5 22 62 6D 80 0
5 22 9F 6A 0 0
5 22 F3 E 80 0
5 23 36 BC 0 0
5 24 3E AE 80 0
D 24 FA 49 80 0
D 25 52 7 80 0
5 25 77 D5 80 0
D 25 DC 38 0 0
5 25 F1 87 0 0
5 26 42 82 80 0
5 26 7E AC 0 0
1D 26 D4 98 0 0
D 26 FA 6B 80 0
5 28 11 8E 80 0
5 28 1D 17 80 0
D 28 81 97 80 0
5 28 83 C 0 0
5 29 15 34 80 0
D 29 1E 82 80 0
D 29 E2 12 80 0
5 2B 5A 4E 0 0
D 2B AB B3 80 0
5 2C 2F C5 0 0
D 2D 25 E3 80 0
5 2D 84 52 0 0
5 2D BE 57 80 0
5 2D C6 51 0 0
5 2E 64 60 80 0
5 2E 7F 15 0 0
5 2E 88 55 80 0
5 2E B8 D5 0 0
D 2E DD 46 0 0
5 2F C 4C 80 0
D 2F A4 F2 0 0
D 2F A9 9F 0 0
5 30 8 E 0 0
D 30 2C A 0 0
5 30 58 35 0 0
5 30 8D D2 0 0
5 33 96 52 80 0
5 34 27 63 0 0
D 34 6B C3 0 0
5 34 B1 A6 0 0
5 34 C9 22 80 0
5 35 11 60 80 0
5 35 27 77 80 0
5 35 2B 47 0 0
D 35 35 7F 80 0
D 35 DC E6 80 0
5 36 B 68 80 0
D 36 5C AD 0 0
5 36 A7 50 80 0
D 37 CB 41 0 0
5 38 65 4E 0 0
D 39 C0 1 0 0
D 39 E1 3B 80 0
5 39 F6 E7 80 0
D 3A 31 2A 0 0
5 3A 36 DA 0 0
D 3B 49 64 0 0
D 3B 90 A9 0 0
5 3B A3 A0 80 0
D 3C B5 42 0 0
5 3D A8 DE 0 0
5 3E 10 CE 80 0
5 3E 3E 31 80 0
D 3E 49 A7 0 0
5 3E C2 D6 0 0
5 3F 4A 19 0 0
D 3F 94 6F 0 0
