5 2E 6C 65 80 0
D 2F 2C 36 0 0
D 2F CA 91 80 0
D 30 E8 17 0 0
5 31 B 2E 0 0
D 31 56 3C 80 0
D 31 AE E0 80 0
5 31 CA BC 80 0
D 31 DD 49 80 0
D 32 C 89 0 0
D 32 10 1F 0 0
D 32 27 2C 80 0
5 32 2B C9 0 0
5 34 6A 80 80 0
5 34 94 D4 80 0
5 35 5 6 80 0
D 35 8 85 80 0
5 35 B 25 80 0
5 35 72 11 80 0
5 36 9F 50 80 0
5 36 C1 64 80 0
5 37 2A 8C 80 0
5 37 58 29 0 0
D 38 69 32 80 0
5 38 9C 6A 0 0
D 38 DB E7 80 0
5 39 3D 24 80 0
D 39 4D 6E 80 0
D 39 AA 24 80 0
5 3B 4 1C 0 0
D 3B 34 C 80 0
5 3B BD 1 80 0
D 3B F5 CB 0 0
D 3C 56 27 0 0
5 3C 6E F5 0 0
5 3C C9 7D 80 0
5 3D 44 21 0 0
5 3D 88 75 80 0
5 3E 6B E8 80 0
5 3E 87 3A 0 0
D 3E 9E A2 80 0
5 3E B5 9C 0 0
5 40 BF 10 80 0
5 40 FD F9 0 0
5 41 28 3C 80 0
D 41 A3 AD 80 0
5 42 2B 88 80 0
D 42 9C 4C 80 0
D 42 C8 60 80 0
5 42 CC 43 0 0
5 43 9D F9 80 0
5 43 ED BC 80 0
5 44 6E 5D 80 0
D 44 9C D8 0 0
D 44 A0 B6 80 0
5 44 FB E0 80 0
5 45 2 E9 0 0
5 45 5A D6 80 0
5 45 8D 63 80 0
5 46 FC C 80 0
5 47 F CB 0 0
5 47 11 86 80 0
D 47 43 D 0 0
5 47 DE A2 0 0
5 48 81 45 0 0
5 48 F1 BC 80 0
5 49 1F 16 0 0
D 49 4F 12 80 0
5 49 56 74 0 0
D 49 77 B9 80 0
D 49 EB C4 0 0
5 4B 79 B 80 0
5 4B C5 E9 80 0
5 4B CA FC 80 0
D 4C F 61 0 0
5 4C 95 48 80 0
D 4D 1F B 0 0
5 4D 3D 97 80 0
D 4D 57 71 80 0
D 4E 85 B4 0 0
1D 4E B6 5D 0 0
D 4F 3B C6 0 0
5 50 38 93 0 0
5 50 FE 8D 80 0
5 51 15 2A 0 0
5 51 26 9 0 0
5 51 65 EF 0 0
5 51 97 6A 0 0
5 53 32 5A 0 0
D 55 46 62 80 0
D 55 89 AA 0 0
D 56 15 38 0 0
D 56 60 A9 80 0
5 57 F 39 0 0
D 57 84 C 0 0
5 58 50 64 0 0
D 59 12 77 0 0
D 59 C4 8F 0 0
D 59 D6 6D 80 0
5 59 DC 9B 80 0
5 59 F2 B0 80 0
5 5A 51 A0 80 0
1D 5A E4 92 0 0
1D 5B 24 EF 0 0
5 5B 25 28 0 0
D 5B 51 D5 0 0
D 5C 59 81 80 0
D 5C 85 FF 0 0
D 5C C7 1E 80 0
5 5C ED 1 0 0
5 5D 2C 1E 80 0
D 5D FF B0 80 0
D 5E 5C FE 0 0
5 5E 94 9F 0 0
D 5E B5 C8 80 0
D 5F 0 3A 0 0
1D 5F 5A 83 80 0
D 60 6E F3 80 0
5 60 A3 A4 80 0
D 61 1 CF 0 0
5 61 18 E5 80 0
5 61 51 32 0 0
5 61 83 71 80 0
5 61 9B 6D 80 0
5 61 F8 22 0 0
D 62 B9 DD 80 0
D 62 F0 2B 0 0
5 63 29 3C 80 0
5 63 D8 25 0 0
D 63 D9 D8 80 0
5 65 10 3 80 0
D 65 AF 80 80 0
5 65 C0 70 80 0
5 66 26 1B 0 0
5 66 72 2E 0 0
5 66 8F EC 0 0
5 67 29 86 80 0
5 68 88 EB 0 0
D 69 5B A3 0 0
D 6A 47 7D 0 0
D 6A 86 ED 80 0
5 6A CD FF 80 0
5 6A E2 78 0 0
D 6B 30 62 0 0
5 6B C5 CA 0 0
5 6B C7 BF 80 0
D 6B D4 0 0 0
D 6C 11 57 0 0
5 6D 7D 19 80 0
D 6E 95 68 80 0
5 6F 1 1B 0 0
5 6F 8C B1 80 0
D 6F 93 99 80 0
D 6F BD 84 80 0
5 70 D0 B3 0 0
D 71 1C 8D 0 0
D 72 F5 9B 0 0
5 73 4 FF 80 0
5 74 52 82 0 0
5 74 91 17 80 0
5 74 B9 1F 0 0
5 75 5F 78 80 0
5 76 3 BB 80 0
5 77 E0 A2 80 0
5 78 4A 47 0 0
5 78 4D 77 0 0
5 78 74 EB 80 0
5 78 BB 3E 0 0
5 78 EC A6 0 0
5 79 65 C2 0 0
D 79 E4 6C 80 0
D 7A AB EF 80 0
5 7B 23 33 0 0
D 7B 9B 8B 80 0
D 7B E7 8F 80 0
5 7B FB EA 80 0
5 7C 62 38 80 0
5 7D 4E 8C 0 0
5 7D 4E FE 80 0
5 7D B7 4D 0 0
5 7D D4 3 0 0
5 7D D8 97 80 0
D 7E 26 48 0 0
5 7E 75 37 0 0
D 7F 9F EC 0 0
5 80 26 C3 0 0
5 80 3C 45 80 0
5 80 43 B8 80 0
5 80 7C 51 0 0
D 81 13 EF 80 0
5 81 54 98 0 0
D 81 A0 23 80 0
D 82 37 24 0 0
5 82 4C 57 80 0
D 82 5D 68 0 0
5 82 DF 75 0 0
5 83 19 F 0 0
D 83 29 51 80 0
D 83 83 BB 80 0
5 83 AC 80 0 0
D 84 87 41 0 0
5 85 E 3A 80 0
D 85 96 AD 80 0
5 85 F5 90 0 0
D 86 8 38 0 0
5 86 7D BC 80 0
5 86 87 9 0 0
5 87 5 BF 80 0
D 87 1C 4B 0 0
5 87 27 F7 80 0
5 87 B3 43 80 0
5 87 D7 4E 80 0
D 88 1F C9 80 0
5 88 54 25 80 0
D 88 6B 62 80 0
5 88 CE 2E 0 0
5 88 E7 78 80 0
