C DC DB 17 80 0
C DD 91 5A 80 0
4 DD E5 4C 80 0
4 DE 14 19 80 0
C DE F2 1F 0 0
4 DF 43 C3 80 0
C E0 5 2 80 0
4 E0 8F 6A 80 0
C E0 C5 59 0 0
C E1 72 9A 80 0
C E1 84 50 80 0
4 E2 9D 2F 80 0
4 E2 F9 8E 0 0
4 E3 2C 3D 80 0
4 E3 AE E8 0 0
4 E4 31 F2 0 0
4 E4 3D F1 80 0
C E4 AF F2 80 0
4 E5 7D 45 80 0
C E5 A0 A8 0 0
4 E6 36 AB 80 0
C E6 60 89 0 0
4 E7 50 E9 80 0
4 E7 64 D0 80 0
C E7 C2 7B 80 0
4 E7 EA C6 0 0
4 E8 54 E8 80 0
C E8 85 14 80 0
C E8 98 11 80 0
4 E8 B5 38 80 0
4 E9 E0 51 0 0
C EA 8A D 0 0
C EB D1 52 80 0
4 EB ED C1 80 0
4 EC 19 D6 0 0
4 EC 3C 49 80 0
C EC A7 EC 80 0
4 EC ED 64 80 0
C ED 16 D0 0 0
4 ED 4C C1 80 0
4 ED 9A FA 0 0
C ED AC F8 80 0
4 ED DE 32 80 0
4 EE CE D7 80 0
4 EE DF A5 80 0
4 EF 1B F7 0 0
4 EF 26 D2 80 0
4 EF EB 1F 0 0
4 F0 41 CA 80 0
4 F1 4D 15 80 0
C F1 C2 4B 0 0
4 F1 EF A 80 0
C F2 26 62 80 0
C F2 A2 B 0 0
4 F2 C8 44 80 0
4 F3 27 DF 0 0
4 F3 31 37 80 0
C F3 69 43 80 0
4 F4 AC EA 80 0
4 F5 2E B2 80 0
C F6 34 A1 0 0
4 F7 19 0 0 0
4 F7 23 11 80 0
4 F7 6C 85 0 0
C F7 E7 93 0 0
4 F8 7 E 0 0
4 F8 24 96 80 0
C F8 C3 AD 0 0
C F8 DD 19 80 0
C F9 F E9 0 0
4 F9 37 13 0 0
C F9 F8 D9 80 0
4 FB 1F 3D 80 0
4 FB 34 BF 0 0
4 FB 75 A 0 0
4 FC 57 B 0 0
4 FC CD 54 80 0
4 FD 8A C0 0 0
C FD B4 96 80 0
4 FE 95 69 0 0
C FE AC F9 0 0
C FF 16 E4 0 0
4 FF 83 60 80 0
5 0 85 F4 80 0
D 0 89 50 80 0
5 1 4C 78 0 0
5 2 E3 E3 0 0
5 3 72 8E 0 0
5 4 E CD 80 0
5 4 6A 37 0 0
5 4 AD 26 0 0
D 5 8F 82 0 0
5 6 2A 8E 0 0
D 6 2F C1 80 0
D 6 5D 23 0 0
5 6 78 5 80 0
D 6 8E F0 80 0
5 6 DC 93 0 0
5 6 DC 9F 0 0
5 7 4D 8D 0 0
5 7 61 38 80 0
5 7 97 9D 80 0
5 7 9D 73 80 0
D 7 A2 42 0 0
1D 8 14 C9 80 0
D 8 B8 7F 0 0
5 9 84 F6 80 0
D 9 B1 F 0 0
5 A 44 50 0 0
5 A 9C BD 0 0
5 A F7 3C 80 0
5 B 5 1A 80 0
D B A5 80 80 0
D D C 22 80 0
5 D 57 51 0 0
5 D FD 81 80 0
5 E 14 93 80 0
D E 14 A6 0 0
