F CE 44 D9 0 1
4 2 BE 6A 80 0
C 3 8 F6 0 0
C 3 84 AF 0 0
4 3 B0 6F 0 0
C 3 CA 12 80 0
4 3 D2 79 80 0
4 4 3D 61 80 0
4 4 DA BA 0 0
C 5 38 80 0 0
4 5 DF FD 80 0
C 6 B9 AD 0 0
4 7 C 3A 80 0
4 7 B5 C 0 0
4 7 DF AB 0 0
4 8 24 6D 80 0
C 9 24 BC 80 0
C 9 4B C3 80 0
4 9 C0 FD 0 0
C 9 F8 5E 0 0
4 A 0 FA 0 0
4 A 4E 36 0 0
4 A 59 25 0 0
4 A 9A 7B 0 0
4 A 9D FC 80 0
4 B A1 18 0 0
C C 21 13 0 0
C C 88 98 80 0
C C F4 97 80 0
4 D 2B 5A 80 0
4 D 6F 84 0 0
4 D 92 1B 0 0
4 D 97 DA 80 0
4 D 9C 42 80 0
4 D 9E AF 0 0
4 D C2 C9 0 0
4 E 25 16 80 0
4 E 96 12 80 0
C F BA 9A 0 0
C 11 3D 9D 80 0
4 11 3E B5 80 0
C 11 4E B8 0 0
C 13 4E A7 0 0
4 13 74 81 0 0
C 13 80 29 0 0
4 13 C4 93 80 0
C 14 9 3 80 0
C 14 24 7D 0 0
4 14 A9 83 80 0
4 14 BE 84 0 0
4 14 F6 74 0 0
4 15 36 E 80 0
4 17 40 E8 80 0
4 18 70 5 80 0
C 19 13 3F 80 0
C 19 27 77 80 0
C 1A 19 BB 80 0
4 1A CD AC 80 0
C 1A E0 60 0 0
C 1A F0 CA 0 0
4 1B 6 F7 80 0
1C 1B 37 E5 0 0
C 1B 7E 93 0 0
4 1B DC 27 0 0
4 1B E0 C7 0 0
4 1B E7 79 80 0
C 1C 5B 46 0 0
4 1C 9F 1A 0 0
C 1C D8 C4 0 0
4 1C E9 62 0 0
C 1D 2 5D 0 0
4 1D 8C AC 80 0
C 1D CD C0 0 0
C 1E 4F 2F 0 0
4 1E 95 E1 0 0
C 1E D8 C0 80 0
C 1F 7B 9E 0 0
4 20 44 23 0 0
4 20 5E 64 0 0
4 20 70 E2 80 0
4 20 CB A2 80 0
4 21 B7 CD 80 0
1C 21 BB 3 80 0
4 21 C1 E 0 0
4 22 C0 1C 0 0
4 22 C6 68 80 0
4 23 D9 54 80 0
C 23 DD 11 0 0
4 24 91 7A 0 0
4 24 E0 B7 80 0
4 24 E3 BE 0 0
4 25 6E C 80 0
4 25 AF B6 0 0
4 26 C3 D3 0 0
4 27 51 B7 0 0
C 27 90 3D 80 0
4 27 C3 DB 0 0
C 27 D0 92 80 0
C 29 13 AB 0 0
C 29 52 71 80 0
C 2A 36 9E 0 0
4 2A 71 0 0 0
4 2B B2 71 80 0
4 2C 75 4C 80 0
C 2C C9 DD 0 0
4 2C CB BA 80 0
4 2D EB 27 80 0
4 2E 81 29 0 0
C 2E D4 FC 0 0
4 2F 66 C5 0 0
C 30 E2 31 80 0
4 31 47 91 80 0
4 31 7D A9 80 0
4 31 A4 AB 80 0
C 31 DB 6C 80 0
4 32 76 6E 80 0
4 32 C0 4B 0 0
4 32 F0 CF 0 0
4 33 6D AB 80 0
4 34 2F 28 80 0
4 34 78 7B 0 0
4 35 1A EE 0 0
4 35 1E A8 80 0
4 36 A1 A 80 0
4 36 E0 B 80 0
C 36 EA 61 80 0
4 37 14 FD 80 0
4 37 31 B8 80 0
4 37 76 11 80 0
